Generacion,Mejor_Individuo,Mejor_f(x),Mejor_Global_Individuo,Mejor_Global_f(x)
1,01111,14.598628300756975,01111,14.598628300756975
2,01111,14.598628300756975,01111,14.598628300756975
3,01111,14.598628300756975,01111,14.598628300756975
4,01111,14.598628300756975,01111,14.598628300756975
5,01111,14.598628300756975,01111,14.598628300756975
6,01111,14.598628300756975,01111,14.598628300756975
7,01111,14.598628300756975,01111,14.598628300756975
8,01111,14.598628300756975,01111,14.598628300756975
9,01111,14.598628300756975,01111,14.598628300756975
10,01111,14.598628300756975,01111,14.598628300756975
